Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
HF770,41-245B,,04-048D,6,,6,0,,0,0,,6,27,162,9,3,,,12,6,2DF,,
HF775,17-903-5-2,,"15-451-4-2, 15-456-5-1, 15-456-5-2",20,,"60, 70, 14",0,,"0, 0, 0",0,,12,70,840,10,7,,,24,12,VNA,,
HF777,41-249D,,19-422F,7,,11,0,,0,0,,6,48,288,6,8,,,10,4,RS6,,
HF778,25-901-1-1,,02-165B,2,,4,0,,0,0,,12,32,384,8,4,,,14,2,VNA,,
HF779,41-457C,,19-197A,8,,23,0,,0,0,,12,50,600,10,5,,,14,2,RS6,,
HF780,14-907-5-2,,02-381A,14,,20,0,,0,0,,12,72,864,9,8,,,17,5,VNA,,
HF781,58-904-3-2,,19-829C,3,,3,0,,0,0,,6,36,216,9,4,,,8,3,VNA,,
HF782,59-904-3-4,,14-462-3-2,19,,6,0,,0,0,,12,88,1056,11,8,,,24,12,VNA,,
HF783,22-907-4-2,,19-581B,9,,8,0,,1,0,,12,88,1056,11,8,,,15,3,RS8,,
HF784,14-904-5-2,,02-214G,13,,6,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
HF785,25-909-3-3,,02-185C,13,,7,0,,5,0,,12,60,720,10,6,,,14,2,VNA,,
HF786,54-902-3-1,,14-477-4-1,14,,2,0,,0,0,,12,35,420,7,5,,,18,6,VNA,,
HF788,24-903-4-2,,19-637H,11,,3,0,,0,0,,12,88,1056,11,8,,,14,2,RS8,,
HF789,21-904-5-2,,"01-108C, 99-999Z",1,,"23, 1",0,,"0, 1",12,,12,36,432,6,6,,,14,2,RS2,,
HF791,55-908-4-3,,02-389G,10,,4,0,,0,0,,12,40,480,10,4,,,14,2,RS2,,
HF792,62-903-3-1,,17-478-5-2,13,,1,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
HF793,21-909-2-2,,03-054F,16,,13,0,,0,0,,12,24,288,4,6,,,14,2,VNA,,
HF794,19-905-2-2,,19-605G,5,,6,0,,0,0,,12,110,1320,11,10,,,14,2,RS8,,
HF798,60-902-2-1,,14-478-3-1,12,,21,0,,0,0,,12,40,480,10,4,,,14,2,VNA,,
HF800,54-905-5-1,,02-373I,9,,7,0,,1,0,,6,54,324,9,6,,,12,6,RS2,,
HF806,56-906-1-1,,19-538B,13,,3,0,,0,0,,12,30,360,6,5,,,22,10,VNA,,
HF807,"41-463B, 46-401A",,19-630G,"5, 6",,2,"0, 0",,0,"0, 0",,12,66,792,11,6,,,14,2,RS8,,
HF813,58-910-3-1,,14-478-4-1,16,,4,0,,0,0,,12,88,1056,11,8,,,14,2,VNA,,
HF825,17-907-5-1,,18-017C,6,,21,0,,0,0,,6,78,468,13,6,,,12,6,VNA,,
HF839,53-908-5-4,,14-407-5-1,5,,1,0,,0,0,,12,55,660,11,5,,,14,2,VNA,,
HF846,56-905-5-2,,19-625B,11,,5,0,,0,0,,12,40,480,10,4,,,14,2,VNA,,
HF859,15-904-5-1,,01-464-3-1,7,,223,0,,0,0,,1,540,540,90,6,,,14,7,EAR,,
HF860,,80-175C,82-130D,,2,147,,0,0,,0,1,360,360,90,4,,,,,1D1,,
HF861,02-910-1-8,06-365-2-5,"09-437-3-2, 99-999Z",16,2,"74, 3",1,0,"5, 3",18,5,6,52,312,13,4,42,18,36,18,VNA,,
HF862,18-909-3-3,,17-013B,5,,8,0,,0,0,,6,78,468,13,6,,,9,3,VNA,,
HF865,66-909-3-1,,14-476-3-1,6,,3,0,,0,0,,6,78,468,13,6,,,8,2,VNA,,
HF869,21-910-3-4,,19-813F,6,,9,0,,0,0,,6,78,468,13,6,,,8,2,VNA,,
HF884,42-433D,,01-146A,18,,9,0,,0,0,,1,780,780,195,4,,,20,10,"01R, EAE, EAW",,
HF890,41-455A,,14-478-6-2,23,,2,0,,0,0,,12,77,924,11,7,,,24,12,VNA,,
HF891,62-905-1-1,,"03-090A, 17-456-5-1",3,,"4, 27",0,,"0, 0",0,,4,27,108,9,3,,,6,2,VNA,,
HF892,41-465A,,14-458-4-1,13,,3,0,,0,0,,12,30,360,6,5,,,16,4,VNA,,
HF895,,"03-230-2-4, 23-404-3-2",17-087B,,"6, 80",47,,"0, 33",47,,"0, 0",1,225,225,25,9,,,,,009,,
HF900,53-902-2-4,,19-698C,12,,4,0,,0,0,,12,30,360,6,5,,,14,2,RS8,,
HF901,24-910-1-1,,01-136A,6,,60,0,,0,0,,1,432,432,72,6,,,11,5,EAR,,
HF902,,10-412-1-1,"14-014C, 17-052B",,24,"224, 27",,0,"0, 0",,0,1,224,224,72,3,224,0,,,2DF,,
HF903,12-902-3-2,,01-066C,3,,45,0,,0,0,,6,54,324,9,6,,,9,3,VNA,,
HF904,41-403B,,01-103D,8,,26,0,,2,0,,6,27,162,9,3,,,12,6,RS2,,
HF905,16-905-4-3,,02-350F,8,,20,0,,0,0,,12,110,1320,11,10,,,15,3,VNA,,
HF906,55-907-3-3,,03-056B,6,,13,0,,0,0,,6,27,162,9,3,,,12,6,VNA,,
HF907,41-255C,,02-454D,15,,14,0,,0,0,,12,110,1320,11,10,,,21,9,RS2,,
HF909,55-910-1-1,,14-441-4-1,13,,18,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
HF910,18-904-3-2,,02-397D,6,,17,0,,0,0,,12,56,672,7,8,,,14,2,VNA,,
HF911,20-908-1-2,,19-781E,17,,2,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
HF912,60-903-3-3,,14-478-1-1,3,,3,0,,0,0,,12,32,384,8,4,,,14,2,VNA,,
HF914,65-905-5-2,,15-475-3-1,13,,1,0,,0,0,,12,70,840,14,5,,,15,3,VNA,,
HF916,21-910-1-4,,02-221I,2,,15,0,,0,0,,6,54,324,9,6,,,8,2,RS2,,
HF919,11-910-5-1,,"19-206A, 19-366G",6,,"17, 6",1,,"0, 0",0,,12,66,792,11,6,,,15,3,VNA,,
HF921,55-905-4-2,,"17-127B, 17-140F",9,,"11, 42",0,,"0, 0",0,,12,42,504,7,6,,,14,2,VNA,,
HF925,54-902-2-2,,19-822F,6,,10,0,,0,0,,6,84,504,14,6,,,8,2,RS8,,
HF927,57-901-5-2,,15-477-5-1,5,,2,0,,0,0,,12,88,1056,11,8,,,14,2,VNA,,
HF928,55-908-3-2,,19-526H,8,,5,0,,0,0,,12,42,504,7,6,,,14,2,VNA,,
HF929,13-909-4-2,,19-734H,20,,14,0,,0,0,,12,135,1620,15,9,,,30,18,VNA,,
HF930,23-901-5-2,,19-766C,18,,8,0,,0,0,,12,66,792,11,6,,,14,2,VNA,,
HF931,24-908-4-3,,02-397G,3,,3,0,,0,0,,12,42,504,7,6,,,14,2,RS2,,
HF933,55-906-1-2,,15-466-6-2,14,,2,0,,0,0,,12,42,504,7,6,,,20,8,VNA,,
HF935,16-908-5-1,,02-478E,11,,8,0,,0,0,,12,40,480,10,4,,,14,2,VNA,,
HF936,14-906-1-3,,"17-038A, 17-080F",3,,"27, 7",0,,"0, 0",0,,6,27,162,9,3,,,8,2,VNA,,
HF940,,02-109-2-3,17-079F,,16,37,,0,0,,0,1,360,360,72,5,20,10,,,009,,
HF942,20-908-3-2,,03-063C,2,,14,0,,0,0,,6,27,162,9,3,,,8,2,RS2,,
HF943,10-905-2-1,,"17-015D, 17-021E, 17-049E, 99-999Z",2,,"16, 27, 13, 1",0,,"0, 0, 0, 1",6,,6,27,162,9,3,,,12,6,VNA,,
HF944,41-450C,,01-116E,10,,40,0,,0,0,,6,91,546,13,7,,,12,6,RS4,,
HF945,14-906-4-2,,"17-019D, 17-062E",6,,"7, 27",0,,"0, 0",0,,6,27,162,9,3,,,12,6,RS6,,
HF946,64-903-1-3,,15-466-5-1,5,,1,0,,0,0,,6,48,288,12,4,,,8,2,VNA,,
HF947,66-907-1-1,,15-413-5-2,15,,3,0,,0,0,,12,56,672,7,8,,,14,2,VNA,,
HF954,60-903-3-2,,15-466-3-1,9,,2,0,,0,0,,12,90,1080,15,6,,,15,3,VNA,,
HF955,62-903-2-1,,15-466-5-2,4,,1,0,,0,0,,12,40,480,10,4,,,14,2,VNA,,
HF956,13-906-3-3,,03-105E,11,,15,0,,0,0,,12,78,936,26,3,,,14,2,VNA,CN,CN
HF959,59-906-3-2,,19-349A,8,,10,0,,0,0,,12,77,924,11,7,,,14,2,VNA,,
HF961,23-907-4-2,,19-585B,10,,5,0,,0,0,,12,72,864,9,8,,,14,2,RS8,,
HF962,20-910-1-1,,"01-188D, 11-, , , ,",5,,"36, 1",6,,"2, 1",3,,1,432,432,72,6,,,8,4,EAR,,
HF963,23-908-3-3,,02-358D,2,,4,0,,0,0,,12,55,660,11,5,,,14,2,RS2,,
HF964,47-341G,,15-416-6-1,15,,1,0,,0,0,,12,200,2400,40,5,,,18,6,VNA,,
HF965,61-903-2-1,,14-476-5-2,7,,3,0,,0,0,,12,120,1440,15,8,,,15,3,VNA,,
HF966,59-902-4-1,,14-474-2-2,4,,2,0,,0,0,,12,70,840,14,5,,,15,3,VNA,,
HF971,25-909-2-1,,19-557I,4,,21,0,,0,0,,12,48,576,6,8,,,14,2,RS8,CN,CN
HF972,15-907-3-1,,02-390G,4,,10,0,,0,0,,6,90,540,15,6,,,8,2,VNA,,
HF973,15-905-2-4,,19-701G,7,,13,0,,0,0,,12,135,1620,15,9,,,15,3,VNA,,
HF976,55-907-2-4,,14-478-4-2,9,,1,0,,0,0,,12,72,864,9,8,,,16,4,VNA,,
HF978,41-233C,,02-269E,11,,19,0,,0,0,,12,88,1056,11,8,,,20,8,RS2,,
HF979,22-909-3-1,,03-083D,4,,8,0,,0,0,,12,16,192,4,4,,,14,2,RS2,,
HF981,20-904-4-1,,02-405D,2,,5,0,,0,0,,12,30,360,6,5,,,14,2,RS2,,
HF982,15-903-4-3,,"19-542C, 19-718D",19,,"1, 2",0,,"0, 0",0,,12,135,1620,15,9,,,30,18,VNA,,
HF983,24-906-4-3,,19-581G,6,,12,0,,0,0,,6,45,270,9,5,,,8,2,RS8,,
HF984,08-908-2-1,,03-066E,10,,33,1,,0,0,,6,52,312,13,4,,,12,6,VNA,,
HF985,09-910-1-2,,19-350H,7,,27,1,,0,0,,12,88,1056,11,8,,,14,2,VNA,,
HF986,25-901-5-2,,19-685G,4,,4,0,,0,0,,12,55,660,11,5,,,14,2,VNA,,
HF987,12-905-1-1,,02-378B,7,,6,7,,1,12,,12,60,720,10,6,,,15,3,VNA,,
HF988,54-903-3-1,,15-475-2-2,8,,2,0,,0,0,,12,40,480,10,4,,,15,3,VNA,,
HF989,16-905-3-1,,"01-052D, 99-999Z",1,,"13, 1",0,,"0, 1",6,,6,52,312,13,4,,,8,2,VNA,,
HF992,02-908-1-8,07-206-1-1,"08-406-3-1, 99-999Z",115,102,"34, 1",3,1,"0, 1",12,0,12,135,1620,15,9,2436,816,144,72,008,CN,"CN, CN"
HF993,17-909-3-2,,19-702E,10,,13,0,,0,0,,12,88,1056,11,8,,,14,2,VNA,,
HF994,22-906-1-2,,"01-101D, 03-100E",4,,"6, 20",0,,"0, 0",0,,6,27,162,9,3,,,8,2,VNA,,
HP6615,,10-478-4-1,"--1-0, 46-644-1-1",,0,"26, 32",,0,"0, 0",,0,12,36,432,9,4,432,216,,,2DF,,
HPKG-ECAT,47-335E,,01-170B,76,,1158,0,,0,0,,1,16000,16000,64,250,,,150,75,"01R, EAE, EAW",,
HPKG1000-CAN,41-505B,,01-159D,40,,16,0,,0,0,,1,10000,10000,20,500,,,50,25,"01R, EAE, EAW",,
HPKG1000-US,41-555A,,01-448-6-1,0,,46,0,,0,0,,1,10000,10000,125,80,,,50,25,"01R, EAE, EAW",,
HPKG450,41-511E,,01-144B,92,,95,0,,0,0,,1,15000,15000,60,250,,,128,64,"01R, EAE, EAW",,
HPKG490-BANK,66-908-3-1,,19-861B,9,,2,0,,0,0,,12,90,1080,10,9,,,15,3,RS8,,
HPKG50,41-505A,,01-141B,21,,690,0,,0,0,,1,1440,1440,80,18,,,30,15,"01R, EAE, EAW",,
JC405,53-908-4-1,,02-510B,9,,2,0,,0,0,,12,35,420,35,1,,,15,3,VNA,,
KF1,15-906-1-2,,02-226C,17,,7,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
KF10-AL,22-910-1-3,,19-526F,4,,17,0,,0,0,,6,60,360,15,4,,,8,2,VNA,,
KF10-AL BOWL,41-427A,,14-476-1-1,10,,4,0,,0,0,,6,60,360,15,4,,,16,10,VNA,,
KF2,22-910-5-3,,19-793B,2,,4,0,,0,0,,12,90,1080,9,9,,,14,2,RS8,,
KF22,09-904-3-1,,"19-637I, 99-999Z",11,,"24, 1",0,,"0, 1",12,,12,80,960,10,8,,,24,12,VNA,,
KF27,47-333A,,19-638D,6,,16,0,,0,0,,6,126,756,18,7,,,8,2,RS8,,
KF28,47-345A,,19-761B,4,,4,0,,0,0,,6,225,1350,25,9,,,8,2,RS8,,
KF31,67-903-4-3,,01-134C,33,,8,0,,0,0,,1,756,756,63,12,,,18,9,EAR,CN,CN
KF33,43-478A,,01-139A,45,,286,0,,0,0,,1,864,864,72,12,,,48,24,"01R, EAE, EAW",CN,CN
KF35,16-905-5-2,,01-188H,12,,48,0,,0,0,,1,720,720,72,10,,,18,9,EAR,CN,CN
KF36,47-301A,,01-468-6-2,7,,23,0,,0,0,,1,1320,1320,88,15,,,10,6,"01R, EAE, EAW",CN,CN
KF38,64-903-2-1,,01-155C,7,,6,0,,0,0,,1,336,336,42,8,,,9,3,EAR,CN,CN
KF46,13-908-5-3,,01-460-3-2,9,,100,0,,0,0,,1,576,576,72,8,,,12,6,EAR,CN,CN
KF47,14-909-5-3,,02-461F,21,,14,0,,0,0,,12,80,960,10,8,,,24,12,VNA,,
KF5,47-339F,,01-185C,3,,2,0,,0,0,,1,720,720,72,10,,,4,2,"01R, EAE, EAW",,
KF51,21-904-3-2,,19-549C,13,,2,0,,0,0,,12,60,720,10,6,,,14,2,RS8,,
KF52,41-401A,,01-143A,11,,13,0,,0,0,,1,324,324,36,9,,,12,6,"01R, EAE, EAW",IN,IN
KF53,61-903-2-2,,01-138E,8,,17,0,,0,0,,1,504,504,42,12,,,12,6,EAR,,
KF54,07-908-1-2,,19-701D,27,,15,0,,0,0,,12,60,720,10,6,,,31,19,VNA,,
KF56,08-904-5-2,,02-230H,10,,13,0,,0,0,,12,42,504,6,7,,,15,3,VNA,,
KF57,42-241C,,01-032B,11,,32,0,,0,0,,6,60,360,15,4,,,20,8,RS2,CN,CN
KF6,47-301F,,01-172C,3,,4,0,,0,0,,1,720,720,60,12,,,4,2,"01R, EAE, EAW",,CN
KF8,54-904-4-1,,19-733B,7,,7,0,,0,0,,12,77,924,7,11,,,14,2,RS8,,
KF964,54-902-5-1,,02-269C,2,,4,0,,0,0,,6,60,360,15,4,,,8,2,RS2,CN,CN
LF101,07-910-2-1,,19-454I,19,,23,0,,0,0,,12,48,576,6,8,,,24,12,VNA,,
LF103,60-904-3-2,,14-478-2-2,6,,4,0,,0,0,,12,30,360,6,5,,,14,2,VNA,,
LF105,41-257C,,19-286F,14,,13,0,,0,0,,12,70,840,10,7,,,24,12,RS6,,
LF106,19-908-3-1,,01-051B,7,,8,0,,0,0,,12,30,360,6,5,,,14,2,RS2,,
LF107,43-434A,06-251-2-1,"04-450-3-2, 42-610-1-1",58,10,"81, 205",0,1,"0, -9",0,0,12,81,972,9,9,216,108,24,12,009,,
LF108,20-910-4-1,,02-358H,6,,9,0,,0,0,,12,32,384,8,4,,,14,2,RS2,,
LF109,62-902-2-1,,14-407-4-1,12,,4,0,,0,0,,12,90,1080,15,6,,,15,3,VNA,,
LF110,60-910-2-1,02-237-1-1,"01-411-5-1, 01-415-3-1, 01-417-3-1",24,203,"81, 81, 81",0,0,"0, 0, 0",0,0,12,81,972,9,9,3888,1944,24,12,001,,
LF111,64-904-2-2,,14-477-4-2,13,,5,0,,0,0,,12,81,972,9,9,,,14,2,VNA,,
LF113,63-901-2-3,02-227-2-6,"09-416-1-1, 09-442-1-1",66,7,"128, 132",0,0,"0, 0",0,0,12,150,1800,15,10,96,48,30,18,009,,
LF114,58-906-2-2,,14-474-6-2,10,,6,0,,0,0,,12,80,960,10,8,,,15,3,VNA,DE,DE
LF115,"42-430C, 55-901-2-1",06-265-1-1,"05-465-4-1, 05-467-3-1, 05-467-3-2, 46-617-1-1","30, 0",135,"70, 69, 70, 280","0, 0",0,"0, 0, 0, 0","0, 0",0,12,70,840,10,7,1680,840,24,12,005,,
LF116,12-905-2-2,,19-366B,11,,4,0,,0,0,,12,90,1080,15,6,,,18,6,RS6,DE,DE
LF117,42-416D,,21-470-1-2,26,,54,0,,0,0,,12,88,1056,11,8,,,30,18,VNA,,
LF119,17-904-5-3,,02-262G,9,,8,0,,0,0,,12,48,576,6,8,,,16,4,VNA,,
LF124,16-910-3-3,,19-526C,6,,10,0,,0,0,,12,120,1440,15,8,,,15,3,VNA,,
LF127,42-229C,,04-039C,28,,37,0,,0,0,,12,56,672,7,8,,,30,18,009,,
LF128,16-908-1-2,,19-626B,4,,3,0,,0,0,,12,88,1056,11,8,,,15,3,VNA,,
LF130,41-249B,,"22-447-5-2, 22-472-3-1",13,,"15, 19",1,,"1, 0",12,,12,81,972,9,9,,,25,13,VNA,,
LF134,58-906-3-1,02-243-2-8,"09-408-5-1, 09-448-6-1",69,1,"6, 108",0,0,"3, 0",0,3,12,120,1440,15,8,72,36,14,2,009,,
LF137,11-907-5-2,,19-213A,6,,27,0,,0,0,,12,56,672,7,8,,,14,2,VNA,,
LF138,10-907-2-1,,18-096F,9,,13,0,,0,0,,12,42,504,7,6,,,21,9,"RS6, VNA",,
LF140,14-910-1-3,,19-438F,6,,13,0,,0,0,,12,88,1056,11,8,,,15,3,VNA,,
LF142,41-409C,02-117-2-4,"09-444-4-1, 09-448-2-1",31,7,"69, 12",0,0,"0, 0",0,0,12,81,972,9,9,108,60,36,24,009,,
LF144,18-908-3-2,,02-381F,12,,18,0,,0,0,,12,90,1080,10,9,,,24,12,VNA,,
LF145,57-903-4-1,,15-453-3-1,18,,8,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
LF145CO,42-426B,,19-577B,12,,4,0,,0,0,,12,81,972,9,9,,,24,12,RS8,,
LF148,57-907-1-2,,14-476-6-1,11,,4,0,,0,0,,12,120,1440,15,8,,,15,3,VNA,,
LF149,08-910-3-1,,19-414G,16,,23,0,,0,0,,12,81,972,9,9,,,24,12,VNA,,
LF150,57-907-1-1,,19-542G,10,,25,0,,0,0,,6,84,504,14,6,,,12,6,VNA,,
LF153,14-908-2-3,,08-034M,3,,11,0,,0,0,,12,50,600,10,5,,,14,2,RS2,,
LF154,19-904-3-1,,17-115D,15,,24,0,,0,0,,12,81,972,9,9,,,24,12,RS8,,
LF155,02-908-2-5,,19-318G,70,,9,0,,0,0,,12,154,1848,22,7,,,72,36,RS6,,
LF156,56-905-2-2,,14-467-2-2,12,,4,0,,0,0,,12,40,480,10,4,,,14,2,VNA,,
LF157,61-905-4-2,02-221-2-1,09-431-5-1,67,7,68,0,0,0,0,0,12,150,1800,15,10,144,72,30,18,009,,
LF158,06-910-2-2,,02-413E,23,,12,0,,0,0,,12,88,1056,11,8,,,24,12,VNA,BR,BR
LF163,59-901-3-2,,19-805C,3,,3,0,,0,0,,6,48,288,8,6,,,8,2,RS8,,
LF167,17-907-5-4,,19-222E,15,,3,0,,0,0,,12,88,1056,11,8,,,21,9,VNA,,
LF171,24-902-3-1,,13-119M,4,,12,0,,0,0,,12,90,1080,15,6,,,15,3,RS8,,
LF172,21-903-2-3,,19-510C,10,,1,0,,0,0,,12,135,1620,15,9,,,15,3,RS8,,
LF173,53-904-3-2,,19-461B,7,,4,0,,0,0,,12,90,1080,15,6,,,15,3,VNA,DE,DE
LF174,14-907-3-1,,02-125B,6,,13,0,,0,0,,12,90,1080,15,6,,,15,3,VNA,,
LF182,47-343D,,14-474-5-2,13,,3,0,,0,0,,12,200,2400,40,5,,,18,6,VNA,,
LF183,47-301E,,18-145A,2,,25,0,,0,0,,12,136,1632,68,2,,,14,2,RS8,MX,MX
LF185,59-903-2-2,,15-466-4-1,3,,1,0,,0,0,,12,90,1080,10,9,,,14,2,VNA,,
LF186,56-905-2-3,,19-505C,2,,7,0,,0,0,,12,80,960,10,8,,,14,2,VNA,,
LF187,54-906-5-1,,19-681B,4,,6,0,,0,0,,12,135,1620,15,9,,,14,2,RS8,,
LF196,43-441A,,"19-, , , , , 19-437E",20,,"23, 8",0,,"0, 0",0,,12,81,972,9,9,,,24,12,VNA,,
LF198,54-904-1-2,,19-717C,3,,5,0,,0,0,,12,110,1320,11,10,,,15,3,RS8,,
LF205,24-910-3-1,,02-181B,5,,2,0,,0,0,,12,56,672,7,8,,,14,2,RS2,,
LF206,19-905-2-3,,15-455-6-1,9,,6,0,,0,0,,12,60,720,10,6,,,15,3,VNA,,
LF207,55-907-5-2,,14-476-3-2,9,,6,0,,0,0,,12,90,1080,15,6,,,18,6,VNA,,
LF209,24-902-2-3,,19-501B,10,,6,0,,0,0,,12,60,720,10,6,,,14,2,RS8,,
LF211,11-904-2-2,,19-221G,13,,14,0,,0,0,,12,70,840,10,7,,,24,12,VNA,,
LF212,02-918-2-2,,02-453G,11,,22,0,,2,0,,12,70,840,10,7,,,22,10,VNA,,
LF213,57-903-3-4,,14-407-2-1,11,,1,0,,0,0,,12,90,1080,15,6,,,15,3,VNA,,
LF214,56-905-1-2,,14-476-1-2,6,,2,0,,0,0,,12,42,504,6,7,,,14,2,VNA,,
LF215,17-901-2-1,,19-789D,22,,12,0,,0,0,,12,88,1056,11,8,,,15,3,VNA,,
LF216,41-221A,,14-476-2-1,11,,4,0,,0,0,,12,70,840,14,5,,,15,3,VNA,,
LF219,08-906-3-1,,"17-072E, 18-075E",14,,"12, 24",0,,"0, 0",0,,12,30,360,6,5,,,20,8,RS6,,
LF222,43-222C,,02-309G,6,,25,0,,0,0,,12,81,972,9,9,,,18,6,RS2,,
LF222CO,42-446B,,19-446D,14,,21,0,,0,0,,12,81,972,9,9,,,24,12,RS6,,
LF223,24-909-2-2,,02-294B,3,,2,0,,0,0,,12,40,480,10,4,,,14,2,VNA,,
LF224,42-447A,,"19-261H, 19-374A",13,,"9, 24",0,,"0, 0",0,,12,70,840,10,7,,,24,12,VNA,,
LF225,02-918-3-5,02-111-2-8,09-410-4-1,27,4,61,0,0,0,0,0,12,81,972,9,9,60,36,48,24,009,,
LF226,41-414D,,22-468-2-2,31,,24,2,,-1,0,,12,55,660,11,5,,,37,25,VNA,,
LF230,15-902-5-1,,19-277G,11,,6,0,,0,0,,12,120,1440,15,8,,,16,4,VNA,,
LF232,62-910-5-3,02-247-2-1,09-434-1-1,37,6,36,0,1,0,0,0,12,150,1800,15,10,108,60,15,3,009,,
LF233,63-901-1-2,02-123-1-2,09-418-2-1,63,81,41,0,0,0,0,0,12,150,1800,15,10,2700,900,15,3,009,,
LF238,19-901-3-2,,"19-573A, 19-614H",13,,"21, 3",0,,"0, 0",0,,12,120,1440,15,8,,,24,12,VNA,,
LF239,17-906-3-3,,"19-565C, 19-693A",3,,"11, 19",0,,"0, 0",0,,12,135,1620,15,9,,,15,3,VNA,,
LF240,60-909-5-3,02-223-1-2,01-407-2-1,20,207,150,0,0,0,0,0,12,150,1800,15,10,2700,900,14,2,001,,
LF241,43-224C,,17-065A,16,,17,1,,0,0,,12,42,504,7,6,,,20,8,RS6,,
LF242,22-907-3-2,,19-509H,13,,14,0,,0,0,,12,120,1440,15,8,,,14,2,RS8,,
LF246,41-442C,,15-405-1-1,7,,2,0,,0,0,,4,40,160,20,2,,,6,2,VNA,,
LF247,41-245C,,14-478-5-2,9,,3,0,,0,0,,12,77,924,11,7,,,15,3,VNA,,
LF250,02-912-1-2,06-319-2-1,"09-473-1-1, 46-648-1-1, 48-684-1-1, 53-616-1-1",18,44,"48, 287, 191, 288",0,0,"0, 0, 0, 0",0,0,6,48,288,12,4,288,144,30,18,009,,
LF250XS,23-905-5-1,,01-100B,2,,14,0,,0,0,,6,48,288,12,4,,,8,2,RS2,,
LF254,58-902-2-3,,15-466-3-2,6,,4,0,,0,0,,12,77,924,11,7,,,14,2,VNA,,
LF259,58-906-1-1,,15-416-5-2,8,,2,0,,0,0,,12,90,1080,15,6,,,15,3,VNA,,
LF261,23-910-4-4,,"19-518G, 19-534H",11,,"15, 8",0,,"0, 0",0,,12,66,792,11,6,,,14,2,RS8,,
LF270,15-903-2-2,,17-060F,12,,22,0,,0,0,,12,70,840,10,7,,,24,12,VNA,,
LF271,41-221C,,18-046D,8,,14,0,,0,0,,6,48,288,12,4,,,11,5,RS6,,
LF273,07-910-5-1,,"17-017B, 19-493I",9,,"51, 41",2,,"0, 1",6,,6,84,504,12,7,,,15,9,VNA,,
LF279,43-408A,07-304-2-1,"09-412-3-1, 17-043C, 18-102E, 19-381I",12,7,"18, 37, 47, 39",0,0,"0, 0, 0, 0",12,0,12,70,840,10,7,120,60,35,23,009,,
LF282,02-910-2-9,06-341-2-1,"03-167E, 04-120D, 09-441-3-1, 09-466-3-1, 10-000A",11,21,"7, 36, 10, 36, 102",0,1,"0, 0, 2, 0, 0",12,0,6,36,216,9,4,240,120,30,18,009,,
LF282XS,41-262C,,17-081E,8,,13,0,,0,0,,6,36,216,9,4,,,12,6,RS6,,
LF283,21-904-1-4,,19-686E,8,,4,0,,0,0,,12,81,972,9,9,,,15,3,RS8,,
LF284,02-904-3-3,07-228-2-1,"08-412-3-2, 08-454-3-2, 08-466-1-2, 09-407-1-2, 09-408-4-2, 09-444-3-1",54,7,"31, 36, 36, 9, 33, 30",3,1,"0, 0, 0, 0, 0, 0",0,0,6,36,216,9,4,42,24,60,30,009,,
LF287,66-908-2-2,,15-418-6-2,12,,4,0,,0,0,,12,56,672,28,2,,,15,3,VNA,,
LF299,02-908-1-5,03-218-2-7,"09-406-6-2, 09-410-2-2, 14-425-4-2, 14-436-5-1",26,1,"4, 29, 18, 32",0,0,"4, 0, 0, 0",48,0,12,42,504,7,6,,,96,48,009,,
LF300,57-901-3-3,,19-653D,12,,4,0,,0,0,,12,35,420,7,5,,,14,2,RS8,,
LF301,07-906-3-2,,19-397H,22,,9,0,,0,0,,12,80,960,10,8,,,24,12,VNA,,
LF305,02-916-4-3,,19-334I,15,,18,0,,0,0,,12,77,924,11,7,,,22,10,VNA,,
LF306,07-905-1-2,,02-365D,7,,21,0,,0,0,,12,66,792,11,6,,,18,6,VNA,,
LF308,41-431C,,02-269H,22,,21,0,,0,0,,12,135,1620,15,9,,,30,18,RS2,,
LF309,62-902-5-3,,14-424-1-2,8,,2,0,,0,0,,12,66,792,11,6,,,15,3,VNA,,
LF310,02-920-3-7,,17-106F,14,,26,0,,0,0,,12,42,504,7,6,,,24,12,VNA,,
LF311,02-916-3-2,,19-461E,13,,11,0,,0,0,,12,60,720,10,6,,,24,12,VNA,,
LF312,18-910-4-2,,08-058L,3,,10,0,,0,0,,12,88,1056,11,8,,,15,3,VNA,,
LF313,43-232C,,"16-449-3-1, 22-443-5-2",19,,"33, 10",0,,"0, 0",0,,12,66,792,11,6,,,24,12,VNA,,
LF314,09-904-2-4,,"19-350G, 19-366H",11,,"12, 3",0,,"0, 0",0,,12,80,960,10,8,,,18,6,VNA,,
